abbor,/ɑ b ɔ ɾ/
pussigere,/ˈ p ʉ s ɪ ɾ ə/
pussigst,/ˈ p ʉ s ɪ k s t/
pussigste,/ˈ p ʉ s ɪ k s t ə/
puste,/ˈ p ʉ s t ə/
putre,/ˈ p ʉ t ɾ ə/
putte,/ˈ p ʉ t ə/
pynte,/ˈ p ʏ n t ə/
pysete,/ˈ p y ː s ə t ə/
pære,/p æ ː ɾ ə/
pølse,/ˈ p œ l s ə/
pønske,/ˈ p œ n s k ə/
på,/p o ː/
på bakkenivå,/p ɔ b ɑ k ə n ɪ ʋ o ː/
på baksiden,/p ɔ b ɑː k s iː d ə n/
på denne tiden,/p ɔ d ɛ n ə ˈ t iː d ə n/
på forhånd,/p ɔ ˈ f ɔ ɾ h ɔ n/
på hverdager,/p o ː ʋ æ ɖ ɑː g ə ɾ/
på norsk,/p ɔ ˈ n ɔ ʂ k/
påberope,/ˈ p o ː b ə ɾ uː p ə/
påbud,/ˈ p o ː b ʉ ː d/
påby,/ˈ p o ː b y ː/
pådra,/ˈ p o ː d ɾ ɑː/
påfallende,/ˈ p o ː f ɑ l ə n ə/
påfølgende,/ˈ p o ː f œ l g ə n ə/
pågripe,/ˈ p o ː g ɾ iː p ə/
pågå,/ˈ p o ː g o ː/
pågående,/ˈ p o ː g o ː ə n ə/
påholden,/ˈ p o ː h ɔ l ə n/
påkledning,/ˈ p o ː k l e ː d n ɪ ŋ/
pålegg,/p o ː l ɛ g/
pålitelig,/p ɔ ˈ l iː t l ɪ/
pålitelige,/p ɔ ˈ l iː t l ɪə/
påliteligere,/p ɔ ˈ l iː t l ɪ ɾ ə/
påliteligst,/p ɔ ˈ l iː t l ɪ k s t/
påliteligste,/p ɔ ˈ l iː t l ɪ k s t ə/
påpasselig,/p ɔ ˈ p ɑ s ə l ɪ/
påpasselige,/p ɔ ˈ p ɑ s ə l ɪə/
påpasseligere,/p ɔ ˈ p ɑ s ə l ɪ ɾ ə/
påpasseligst,/p ɔ ˈ p ɑ s ə l ɪ k s t/
påpasseligste,/p ɔ ˈ p ɑ s ə l ɪ k s t ə/
påpeke,/ˈ p o ː p e ː k ə/
påske,/ˈ p o ː s k ə/
påskynde,"/ˈ p o ː ʂ ʏ n ə/, /ˈ p o ː ʂ ʏ n d ə/"
påstand,/ˈ p o ː s t ɑ n/
påstigningshjelp,/ˈ p o ː s t iː g n ɪ ŋ s j ɛ l p/
påstå,/ˈ p o ː s t o ː/
påståelig,/p ɔ ˈ s t o ː ə l ɪ/
påståelige,/p ɔ ˈ s t o ː ə l ɪə/
påståeligere,/p ɔ ˈ s t o ː ə l ɪ ɾ ə/
påståeligst,/p ɔ ˈ s t o ː ə l ɪ k s t/
påståeligste,/p ɔ ˈ s t o ː ə l ɪ k s t ə/
påtatt,/ˈ p o ː t ɑ t/
påvirke,/ˈ p o ː ʋ ɪ ɾ k ə/
påvise,/ˈ p o ː ʋ iː s ə/
rabatt,/ɾ ɑ ˈ b ɑ t/
rable,/ˈ ɾ ɑ b l ə/
racersykkel,/ˈ ɾ æ ː s ɛ ʂ ʏ k ə l/
racket,/ˈ ɾ æ k ə t/
rade,/ˈ ɾ o ː d ə/
radering,/ɾ ɑ ˈ d e ː ɾ ɪ ŋ/
radikal,/ɾ ɑ d ɪ ˈ k ɑː l/
radio,/ˈ ɾ ɑː d ɪ u/
raffinert,/ɾ ɑ f ɪ ˈ n e ː ʈ/
rage,/ˈ ɾ ɑː g ə/
rak,/ɾ ɑː k/
rake,/ˈ ɾ ɑː k ə/
rakett,/ɾ ɑ ˈ k ɛ t/
rakke,/ˈ ɾ ɑ k ə/
rakle,/ˈ ɾ ɑ k ɭ ə/
rakne,/ˈ ɾ ɑ k n ə/
ramle,/ˈ ɾ ɑ m l ə/
ramme,/ˈ ɾ ɑ m ə/
rampete,/ˈ ɾ ɑ m p ə t ə/
ramponere,/ɾ ɑ m p ʊ ˈ n e ː ɾ ə/
rane,/ˈ ɾ ɑː n ə/
rang,/ɾ ɑ ŋ/
rangel,/ˈ ɾ ɑ ŋ ə l/
rangere,/ɾ ɑ ŋ ˈ ʂ e ː ɾ ə/
rangle,/ˈ ɾ ɑ ŋ ɽ ə/
ransake,/ˈ ɾ ɑ n s ɑː k ə/
rapp,/ɾ æ p/
rappe,/ˈ ɾ ɑ p ə/
rapportere,/ɾ ɑ p ɔ ˈ ʈ e ː ɾ ə/
rar,/ɾ ɑː ɾ/
rase,/ˈ ɾ ɑː s ə/
rasende,/ɾ ɑː s ə n ə/
rasere,/ɾ ɑ ˈ s e ː ɾ ə/
rasistisk,/ɾ ɑ ˈ s ɪ s t ɪ s k/
rasjonell,/ɾ ɑ ʂ ʊ ˈ n ɛ l/
rask,/ɾ ɑ s k/
raskt,/ɾ ɑ s k t/
rasle,/ˈ ɾ ɑ ʂ ɭ ə/
raspe,/ˈ ɾ ɑ s p ə/
rastløs,/ˈ ɾ ɑ s t l ø ː s/
raus,/ɾ æʉ s/
raute,/ˈ ɾ æʉ t ə/
re,/ɾ e ː/
reagere,/ɾ ə ɑ ˈ g e ː ɾ ə/
reaksjon,/ɾ ə ɑ k ˈ ʂ uː n/
real,/ˈ ɾ e ː ɑ l/
realisere,/ɾ ə ɑ l ɪ ˈ s e ː ɾ ə/
realistisk,/ɾ ə ɑ ˈ l ɪ s t/
redd,/ɾ ɛ d/
redde,/ˈ ɾ ɛ d ə/
rede,/ˈ ɾ e ː d ə/
redegjøre,/ˈ ɾ e ː d ə j ø ː ɾ ə/
redelig,/ˈ ɾ e ː d ə l ɪ/
redelige,/ˈ ɾ e ː d ə l ɪə/
redeligere,/ˈ ɾ e ː d ə l ɪ ɾ ə/
redeligst,/ˈ ɾ e ː d ə l ɪ k s t/
redeligste,/ˈ ɾ e ː d ə l ɪ k s t ə/
redigere,/ɾ ə d ɪ ˈ g e ː ɾ ə/
redningsbåt,/ɾ ɛ d n ɪ ŋ s b o ː t/
redningsvest,/ɾ ɛ d n ɪ ŋ s ʋ ɛ s t/
redsel,/ˈ ɾ ɛ t s ə l/
redusere,/ɾ ə d ʉ ˈ s e ː ɾ ə/
reell,/ɾ ə ˈ ɛ l/
referere,/ɾ ə f ə ˈ ɾ e ː ɾ ə/
refleksiv,/ˈ ɾ ɛ f l ə k s iː ʋ/
reflektere,/ɾ ə f l ə k ˈ t e ː ɾ ə/
refse,/ˈ ɾ ɛ f s ə/
refundere,/ɾ ə f ʉ n ˈ d e ː ɾ ə/
refusere,/ɾ ə f ʉ ˈ s e ː ɾ ə/
regel,/ˈ ɾ e ː g ə l/
regelmessig,/ˈ ɾ e ː g ə l m ɛ s ɪ/
regelmessige,/ˈ ɾ e ː g ə l m ɛ s ɪə/
regelmessigere,/ˈ ɾ e ː g ə l m ɛ s ɪ ɾ ə/
regelmessigst,/ˈ ɾ e ː g ə l m ɛ s ɪ k s t/
regelmessigste,/ˈ ɾ e ː g ə l m ɛ s ɪ k s t ə/
regi,/ɾ ɛ ˈ ʂ iː/
regional,/ɾ ə g ɪ ʊ ˈ n ɑː l/
registrere,/ɾ ə g ɪ ˈ s t ɾ e ː ɾ ə/
regjere,/ɾ ə ˈ j e ː ɾ ə/
regjering,/ɾ ɛ ˈ j e ː ɾ ɪ ŋ/
regn,/ɾ æɪ n/
regne,/ˈ ɾ æɪ n ə/
regne,/ˈ ɾ æɪ n ə ɾ/
regnfrakk,/ɾ æɪ n f ɾ ɑ k/
regnfullt,/ɾ æɪ n f ʉ l t/
regning,/ɾ æɪ n ɪ ŋ/
regnskur,/ɾ æɪ n s k ʉ ɾ/
regulere,/ɾ ə g ʉ ˈ l e ː ɾ ə/
regulær,/ɾ ə g ʉ ˈ l æ ː ɾ/
reim,/ɾ æɪ m/
rein,/ɾ æɪ n/
reise,/ˈ ɾ æɪ s ə/
reise bort,/ˈ ɾ æɪ s ə b ʊ ʈ/
reise fra,/ˈ ɾ æɪ s ə f ɾ ɑː/
reise til,/ˈ ɾ æɪ s ə t ɪ l/
reisebyrå,/ˈ ɾ æɪ s ə b ʏ ɾ o ː/
reisehåndbok,/ˈ ɾ æɪ s ə h ɔ n b uː k/
reiseselskap,/ˈ ɾ æɪ s ə s ɛ l s k ɑ p/
reisesjekk,/ˈ ɾ æɪ s ə ʂ ɛ k/
reiseveske,/ˈ ɾ æɪ s ə ʋ ɛ s k ə/
reke,/ˈ ɾ e ː k ə/
reker,/ɾ ɛ k ə ɾ/
rekke,/ˈ ɾ ɛ k ə/
reklamere,/ɾ ɛ k l ɑ ˈ m e ː ɾ ə/
rekonstruere,/ɾ ɛ k ʊ n s t ɾ ʉ ˈ e ː ɾ ə/
rekruttere,/ɾ ɛ k ɾ ʉ ˈ t e ː ɾ ə/
relativ,/ˈ ɾ ɛ l ɑ t iː ʋ/
relevant,/ɾ ɛ l ə ˈ ʋ ɑ n t/
religion,/ɾ ɛ l ɪ g ɪ ˈ uː n/
religiøs,/ɾ ɛ l ɪ g ɪ ˈ ø ː s/
ren,/ɾ e ː n/
renessanse,/ɾ e ː n e ː s ɑ n s ə/
rengjøre,/ˈ ɾ e ː n j ø ː ɾ ə/
renne,/ˈ ɾ ɛ n ə/
renovere,/ɾ ə n ʊ ˈ ʋ e ː ɾ ə/
rense,/ˈ ɾ ɛ n s ə/
renseri,/ɾ ɛ n s e ː ˈ ɾ i/
renske,/ˈ ɾ ə n s k ə/
renslig,/ˈ ɾ e ː n ʂ ɭ ɪ/
renslige,/ˈ ɾ e ː n ʂ ɭ ɪə/
rensligere,/ˈ ɾ e ː n ʂ ɭ ɪ ɾ ə/
rensligst,/ˈ ɾ e ː n ʂ ɭ ɪ k s t/
rensligste,/ˈ ɾ e ː n ʂ ɭ ɪ k s t ə/
reparere,/ɾ ɛ p ɑ ˈ ɾ e ː ɾ ə/
repetere,/ɾ ə p ə ˈ t e ː ɾ ə/
representativ,/ɾ ə p ɾ ə ˈ s ɛ n t ɑ t iː ʋ/
representere,/ɾ ə p ɾ ə s ə n ˈ t e ː ɾ ə/
reprodusere,/ɾ ə p ɾ ʊ d ʉ ˈ s e ː ɾ ə/
resepsjon,/ɾ ɛ s ɛ p ˈ ʂ uː n/
resept,/ɾ ɛ ˈ s ɛ p t/
reserve,/ɾ ɛ ˈ s æ ɾ ʋ ə/
reservere,/ɾ ɛ s æ ɾ ˈ ʋ e ː ɾ ə/
reservering,/ɾ ɛ s ɛ ɾ ˈ ʋ e ː ɾ ɪ ŋ/
reservert,/ɾ ɛ s æ ɾ ˈ ʋ e ː ʈ/
residere,/ɾ ɛ s ɪ ˈ d e ː ɾ ə/
resignere,/ɾ ɛ s ɪ g ˈ n e ː ɾ ə/
resirkulere,/ɾ ɛ s ɪ ɾ k ʉ ˈ l e ː ɾ ə/
resolutt,/ɾ ɛ s ʊ ˈ l ʉ t/
resonnere,/ɾ ɛ s ʊ ˈ n e ː ɾ ə/
respekt,/ɾ ɛ ˈ s p ɛ k t/
respektabel,/ɾ ɛ s p ɛ k ˈ t ɑː b ə l/
respektere,/ɾ ɛ s p ɛ k ˈ t e ː ɾ ə/
respektiv,/ɾ ɛ s p ə k ˈ t iː ʋ/
respektløs,/ɾ ɛ ˈ s p ɛ k t l ø ː s/
ressurs,/ɾ ɛ ˈ s ʉ ʂ/
ressurssterk,/ɾ ɛ ˈ s ʉ ʂ s t æ ɾ k/
ressurssvak,/ɾ ɛ ˈ s ʉ ʂ s ʋ ɑː k/
rest,/ɾ ɛ s t/
restaurant,/ɾ ɛ s t ʉ ˈ ɾ ɑ ŋ/
restaurantvogn,/ɾ ɛ s t ɑ ʉ ˈ ɾ ɑ ŋ ʋ ɔ ŋ n/
restaurere,/ɾ ɛ s t æʉ ˈ ɾ e ː ɾ ə/
resultat,/ɾ ɛ s ʉ l ˈ t ɑː t/
resultere,/ɾ ɛ s ʉ l ˈ t e ː ɾ ə/
retning,/ɾ ɛ t n ɪ ŋ/
retningsnummer,/ɾ ɛ t n ɪ ŋ s n ʊ m ə ɾ/
rett,/ɾ ɛ t/
rett fram,/ˈ ɾ ɛ t   ˈ f ɾ ɑ m/
rette,/ˈ ɾ ɛ t ə/
rettferdig,/ˈ ɾ ɛ t f æ ɖ ɪ/
rettferdige,/ˈ ɾ ɛ t f æ ɖ ɪə/
rettferdigere,/ˈ ɾ ɛ t f æ ɖ ɪ ɾ ə/
rettferdigst,/ˈ ɾ ɛ t f æ ɖ ɪ k s t/
rettferdigste,/ˈ ɾ ɛ t f æ ɖ ɪ k s t ə/
rettssak,/ˈ ɾ ɛ t s ɑː k/
returbillett,/ɾ ɛ ˈ t ʉ ː ɾ b ɪ l ɛ t/
returnere,/ɾ ə t ʉ ˈ ɳ e ː ɾ ə/
revers,/ɾ ɛ ˈ ʋ æ ʂ/
revidere,/ɾ ə ʋ ɪ ˈ d e ː ɾ ə/
revne,/ˈ ɾ ɛ ʋ n ə/
revolusjon,/ɾ ə ʋ ʊ l ʉ ˈ ʂ uː n/
revolusjonere,/ɾ ə ʋ ʊ l ʉ ʂ ʊ ˈ n e ː ɾ ə/
revy,/ɾ e ː ʋ y/
rheumatisme,/ɾ æʉ m ɑ ˈ t ɪ s m ə/
ri,/ɾ iː/
ribbe,/ˈ ɾ ɪ b ə/
ride,/ɾ iː d ə/
rideskole,/ɾ iː d ɛ s k ʊ l ə/
ridetur,/ɾ iː d ə t ʉ ː ɾ/
rifle,/ˈ ɾ ɪ f l ə/
rik,/ɾ iː k/
rike,/ˈ ɾ iː k ə/
rikelig,/ˈ ɾ iː k ə l ɪ/
rikelige,/ˈ ɾ iː k ə l ɪə/
rikeligere,/ˈ ɾ iː k ə l ɪ ɾ ə/
rikeligst,/ˈ ɾ iː k ə l ɪ k s t/
rikeligste,/ˈ ɾ iː k ə l ɪ k s t ə/
rikke,/ˈ ɾ ɪ k ə/
riktig,/ˈ ɾ ɪ k t ɪ/
riktige,/ˈ ɾ ɪ k t ɪə/
riktigere,/ˈ ɾ ɪ k t ɪ ɾ ə/
riktigst,/ˈ ɾ ɪ k t ɪ k s t/
riktigste,/ˈ ɾ ɪ k t ɪ k s t ə/
rime,/ˈ ɾ iː m ə/
rimelig,"/ˈ ɾ iː m ə l ɪ/, /ˈ ɾ iː m l ɪ/"
rimelige,/ˈ ɾ iː m ə l ɪə/
rimeligere,/ˈ ɾ iː m ə l ɪ ɾ ə/
rimeligst,/ˈ ɾ iː m ə l ɪ k s t/
rimeligste,/ˈ ɾ iː m ə l ɪ k s t ə/
ring,/ɾ ɪ ŋ/
ringe,/ˈ ɾ ɪ ŋ ə/
ripe,/ˈ ɾ iː p ə/
rips,/ɾ ɪ p s/
ris,/ɾ iː s/
risikabel,/ɾ ɪ s ɪ ˈ k ɑː b ə l/
risikere,/ɾ ɪ s ɪ ˈ k e ː ɾ ə/
risiko,/ˈ ɾ ɪ s ɪ k u/
riste,/ˈ ɾ ɪ s t ə/
ristet,/ɾ ɪ s t ə t/
rive,/ˈ ɾ iː ʋ ə/
ro,/ɾ uː/
robust,/ɾ ʊ ˈ b ʉ s t/
robåt,/ˈ ɾ uː b o ː t/
rodd,/ɾ ʊ d/
rodde,/ˈ ɾ ʊ d ə/
roe,"/ˈ ɾ uː ə/, /ˈ ɾ uː w ə/"
roer,/ˈ ɾ uː w ə ɾ/
roh,/ɾ o ː/
rolig,/ˈ ɾ uː l ɪ/
rolige,/ˈ ɾ uː l ɪə/
roligere,/ˈ ɾ uː l ɪ ɾ ə/
roligst,/ˈ ɾ uː l ɪ k s t/
roligste,/ˈ ɾ uː l ɪ k s t ə/
rolle,/ˈ ɾ ɔ l ə/
rom,/ɾ uː m/
roman,/ɾ ʊ ˈ m ɑː n/
romantisk,/ɾ ʊ ˈ m ɑ n t ɪ s k/
rombe,/ˈ ɾ ʊ m b ə/
romfart,/ˈ ɾ ʊ m f ɑ ʈ/
romme,/ˈ ɾ ʊ m ə/
romskip,/ˈ ɾ ʊ m ʂ iː p/
romslig,/ˈ ɾ ʊ m ʂ ɭ ɪ/
romslige,/ˈ ɾ ʊ m ʂ ɭ ɪə/
romsligere,/ˈ ɾ ʊ m ʂ ɭ ɪ ɾ ə/
romsligst,/ˈ ɾ ʊ m ʂ ɭ ɪ k s t/
romsligste,/ˈ ɾ ʊ m ʂ ɭ ɪ k s t ə/
rope,/ˈ ɾ uː p ə/
roper,/ˈ ɾ uː p ə ɾ/
ror,/ɾ uː ɾ/
ros,/ɾ uː s/
rosa,/ˈ ɾ uː s ɑ/
rose,/ˈ ɾ uː s ə/
rosmarin,/ɾ ʊ s m ɑ ˈ ɾ iː n/
rot,/ɾ o ː t/
rote,/ˈ ɾ uː t ə/
rotere,/ɾ ʊ ˈ t e ː ɾ ə/
rotete,/ˈ ɾ uː t ə t ə/
rotte,/ˈ ɾ ɔ t ə/
rovdyr,/ˈ ɾ o ː ʋ d y ː ɾ/
ru,/ɾ ʉ ː/
rug,/ɾ ʉ ː g/
ruge,/ˈ ɾ ʉ ː g ə/
ruglete,/ˈ ɾ ʉ g l ə t ə/
ruin,/ɾ ʉ ˈ iː n/
ruinere,/ɾ ʉ ɪ ˈ n e ː ɾ ə/
rulle,/ˈ ɾ ʉ l ə/
rullestol,/ˈ ɾ ʉ l ə s t uː l/
rumensk,/ɾ ʉ ˈ m e ː n s k/
rumpe,/ˈ ɾ ʊ m p ə/
rund,/ɾ ʉ n/
runde,/ˈ ɾ ʉ n ə/
rundhanda,/ˈ ɾ ʉ n h ɔ n ə t/
rundhandet,/ˈ ɾ ʉ n h ɔ n ə t/
rundhånda,/ˈ ɾ ʉ n h ɔ n ə t/
rundhåndet,/ˈ ɾ ʉ n h ɔ n ə t/
rundstykker med pålegg,/ˈ ɾ ʉ n s t ʏ k ə ɾ m ɛ p o ː l ɛ g/
rundt,/ɾ ʉ n t/
rundtur,/ɾ ʉ n t ʉ ː ɾ/
rundtur til øyer,/ɾ ʉ n t ʉ ː ʈ ɪ l œ j ə ɾ/
rune,/ˈ ɾ ʉ ː n ə/
runge,/ˈ ɾ ʊ ŋ ə/
ruse,/ˈ ɾ ʉ ː s ə/
rusk,/ɾ ʉ s k/
rusle,/ˈ ɾ ʉ ʂ ɭ ə/
russisk,/ˈ ɾ ʉ s ɪ s k/
rust,/ɾ ʉ s t/
ruste,/ˈ ɾ ʉ s t ə/
rusten,/ˈ ɾ ʉ s t ə n/
rute,/ˈ ɾ ʉ ː t ə/
rutebilstasjon,/ɾ ʉ ː t ə b iː l s t ɑ ʂ uː n/
ruteplan,/ɾ ʉ ː t ə p l ɑː n/
rutete,/ˈ ɾ ʉ ː t ə t ə/
rutine,/ɾ ʉ ˈ t iː n ə/
ry,/ɾ y ː/
rydde,/ˈ ɾ ʏ d ə/
ryddig,/ˈ ɾ ʏ d ɪ/
ryddige,/ˈ ɾ ʏ d ɪə/
ryddigere,/ˈ ɾ ʏ d ɪ ɾ ə/
ryddigst,/ˈ ɾ ʏ d ɪ k s t/
ryddigste,/ˈ ɾ ʏ d ɪ k s t ə/
rygg,/ɾ ʏ g/
rygge,/ˈ ɾ ʏ g ə/
ryggrad,/ɾ ʏ g ɾ ɑː d/
ryggsekk,/ɾ ʏ k s ɛ k/
ryke,/ˈ ɾ y ː k ə/
rykke,/ˈ ɾ ʏ k ə/
rynke,/ˈ ɾ ʏ ŋ k ə/
ryste,/ˈ ɾ ʏ s t ə/
rystende,/ˈ ɾ ʏ s t ə n e/
rytme,/ˈ ɾ ʏ t m ə/
Røa,/ˈ ɾ ø ː w ɑ/
rød,/ɾ ø ː/
røde hunder,/ɾ ø ː ə h ʉ n ə ɾ/
rødkål,/ˈ ɾ ø ː k o ː l/
rødme,/ˈ ɾ œ d m ə/
rødstrupe,/ˈ ɾ ø ː s t ɾ ʉ ː p ə/
rødt,/ɾ œ t/
rødvin,/ˈ ɾ ø ː ʋ iː n/
røff,/ɾ œ f/
røke,/ɾ ø ː k ə/
røkt,/ɾ ø ː k t/
røkte,/ˈ ɾ œ k t ə/
rømme,/ˈ ɾ œ m ə/
røntgen,/ˈ ɾ œ n t k ə n/
røntgenbilde,/ˈ ɾ œ n t k ə n b ɪ l d ə/
røpe,/ɾ ø ː p ə/
røre,/ˈ ɾ ø ː ɾ ə/
røslig,/ˈ ɾ œ ʂ ɭ ɪ/
røslige,/ˈ ɾ œ ʂ ɭ ɪə/
røsligere,/ˈ ɾ œ ʂ ɭ ɪ ɾ ə/
røsligst,/ˈ ɾ œ ʂ ɭ ɪ k s t/
røsligste,/ˈ ɾ œ ʂ ɭ ɪ k s t ə/
røyk,/ɾ œ j k/
røyke,/ˈ ɾ œ j k ə/
røyker,/ɾ œ j k ə ɾ/
røyte,/ˈ ɾ œ j t ə/
rå,/ɾ o ː/
råd,/ɾ o ː/
råde,/ˈ ɾ o ː d ə/
rådføre,/ˈ ɾ o ː d f ø ː ɾ ə/
rådhus,/ɾ o ː d h ʉ ː s/
råkjøre,/ˈ ɾ o ː ç ø ː ɾ ə/
råtne,/ˈ ɾ ɔ t n ə/
råtten,/ˈ ɾ ɔ t ə n/
sabla,/ˈ s ɑː b l ɑ/
sabotere,/s ɑ b ʊ ˈ t e ː ɾ ə/
safe,/s æɪ f/
safran,/s ɑ ˈ f ɾ ɑ n/
saft,/s ɑ f t/
saftig,/ˈ s ɑ f t ɪ/
saftige,/ˈ s ɑ f t ɪə/
saftigere,/ˈ s ɑ f t ɪ ɾ ə/
saftigst,/ˈ s ɑ f t ɪ k s t/
saftigste,/ˈ s ɑ f t ɪ k s t ə/
sage,/ˈ s ɑː g ə/
sagn,/s ɑ ŋ n/
sak,/s ɑː k/
sakkyndig,/ˈ s ɑː k ç ʏ n ɪ/
sakkyndige,/ˈ s ɑː k ç ʏ n ɪə/
sakkyndigere,/ˈ s ɑː k ç ʏ n ɪ ɾ ə/
sakkyndigst,/ˈ s ɑː k ç ʏ n ɪ k s t/
sakkyndigste,/ˈ s ɑː k ç ʏ n ɪ k s t ə/
saklig,/ˈ s ɑː k l ɪ/
saklige,/ˈ s ɑː k l ɪə/
sakligere,/ˈ s ɑː k l ɪ ɾ ə/
sakligst,/ˈ s ɑː k l ɪ k s t/
sakligste,/ˈ s ɑː k l ɪ k s t ə/
saks,/s ɑ k s/
sakse,/ˈ s ɑ k s ə/
saksøke,/ˈ s ɑː k s ø ː k ə/
sakte,/ˈ s ɑ k t ə/
sal,/s ɑː l/
salami,/s ɑ l ɑː ˈ m i/
salat,/s ɑ ˈ l ɑː t/
salg,/s ɑ l g/
salomonisk,/s ɑ l ʊ ˈ m uː n ɪ s k/
salt,/s ɑ l t/
salte,/ˈ s ɑ l t ə/
salve,/ˈ s ɑ l ʋ ə/
salvie,/s ɑ l ʋ ɪə/
samarbeid,/ˈ s ɑ m ɑ ɾ b æɪ d/
samarbeide,/ˈ s ɑ m ɑ ɾ b æɪ d ə/
samfunn,/ˈ s ɑ m f ʉ n/
samisk,/ˈ s ɑː m ɪ s k/
samle,/ˈ s ɑ m l ə/
samling,/ˈ s ɑ m l ɪ ŋ/
samme,/ˈ s ɑ m ə/
sammen,/ˈ s ɑ m ə n/
sammenfatte,/ˈ s ɑ m ə n f ɑ t ə/
sammenheng,/ˈ s ɑ m ə n h ɛ ŋ/
sammenlagt,/ˈ s ɑ m ə n l ɑ k t/
sammenligne,/ˈ s ɑ m ə n l ɪ ŋ n ə/
sammensatt,/ˈ s ɑ m ə n s ɑ t/
sammenstøt,/ˈ s ɑ m ə n s t ø ː t/
samordne,/ˈ s ɑ m ɔ ɖ n ə/
samt,/s ɑ m t/
samtale,/ˈ s ɑ m t ɑː l ə/
samtidig,/ˈ s ɑ m t iː d ɪ/
samtidige,/ˈ s ɑ m t iː d ɪə/
samtidigere,/ˈ s ɑ m t iː d ɪ ɾ ə/
samtidigst,/ˈ s ɑ m t iː d ɪ k s t/
samtidigste,/ˈ s ɑ m t iː d ɪ k s t ə/
samtykke,/ˈ s ɑ m t ʏ k ə/
samvittighetsfull,/s ɑ m ˈ ʋ ɪ t ɪ h e ː t s f ʉ l/
sand,/s ɑ n/
sandal,/s ɑ n ˈ d ɑː l ə ɾ/
sandkasse,/s ɑ n k ɑ s ə/
sang,/s ɑ ŋ/
sangbok,/ˈ s ɑ ŋ b uː k/
sanger,/ˈ s ɑ ŋ ə ɾ/
sangerinne,/s ɑ ŋ ə ɾ ɪ n ə/
sangfugl,/ˈ s ɑ ŋ f ʉ ː l/
sangkor,/ˈ s ɑ ŋ k uː ɾ/
sangstemme,/ˈ s ɑ ŋ s t ɛ m ə/
sangvinsk,/s ɑ ŋ ˈ ʋ iː n s k/
sangværelse,/ˈ s ɑ ŋ ʋ æ ː ɭ s ə/
sanitetsbind,/s ɑ n ɪ ˈ t e ː t s b ɪ n/
sanitær,/s ɑ n ɪ ˈ t æ ː ɾ/
sanke,/ˈ s ɑ ŋ k ə/
sann,/s ɑ n/
sannsynlig,/s ɑ n ˈ s y ː n l ɪ/
sannsynlige,/s ɑ n ˈ s y ː n l ɪə/
sannsynligere,/s ɑ n ˈ s y ː n l ɪ ɾ ə/
sannsynlighet,/s ɑ n ˈ s y ː n l ɪ h e ː t/
sannsynligst,/s ɑ n ˈ s y ː n l ɪ k s t/
sannsynligste,/s ɑ n ˈ s y ː n l ɪ k s t ə/
sannsynligvis,/s ɑ n ˈ s y ː n l ɪ ʋ iː s/
sans,/s ɑ n s/
sanse,/ˈ s ɑ n s ə/
sansebedrag,/ˈ s ɑ n s ə b ə d ɾ ɑː g/
sarkastisk,/s ɑ ɾ ˈ k ɑ s t ɪ s k/
sart,/s ɑː ʈ/
satirisk,/s ɑ ˈ t iː ɾ ɪ s k/
sats,/s ɑ t s/
satse,/ˈ s ɑ t s ə/
satt,/s ɑ t/
sau,/s æ w/
saueost,/s æʉ ə ʊ s t/
saumfare,/ˈ s æʉ m f ɑː ɾ ə/
saus,/s æʉ s/
savn,/ˈ s ɑ ʋ n̩/
savne,/ˈ s ɑ ʋ n ə/
schæfer,/ˈ ʂ e ː f ə ɾ/
scooter,/ˈ s k ʉ t ə ɾ/
score,/s k o ː ɾ/
se,/s e ː/
se opp,/ˈ s e ː   ˈ ɔ p/
se på,/ˈ s e ː p ɔ/
seddel,/ˈ s ɛ d ə l/
sees,/ˈ s e ː ə s/
seg,/s æɪ/
segne,/ˈ s æɪ n ə/
seier,/ˈ s æɪ ə ɾ/
seig,/s æɪ g/
seige,/s æɪ ə/
seigere,/s æ j ə ɾ ə/
seigst,/s æɪ k s t/
seigste,/s æɪ k s t ə/
seil,/s æɪ l/
seilbåt,/s æɪ l b o ː t/
seile,/ˈ s æɪ l ə/
seiltur,/s æɪ l t ʉ ɾ/
seire,/ˈ s æɪ ɾ ə/
sekk,/s ɛ k/
seks,/s ɛ k s/
seksten,/s æɪ s t ə n/
seksti,/ˈ s ɛ k s t i/
seksuell,/s ə k s ʉ ˈ ɛ l/
sekund,/s ɛ ˈ k ʉ n/
sel,/s e ː l/
sele,/ˈ s e ː l ə/
seleksjon,/ˈ s ɛ l ɛ k ʂ uː n/
selektiv,/ˈ s ɛ l ɛ k t iː ʋ/
selg,/s ɛ l/
selge,/ˈ s ɛ l ə/
selleri,/s ɛ l ə ˈ ɾ iː/
selskap,/ˈ s ɛ l s k ɑː p/
selsom,/ˈ s e ː l s ɔ m/
selv,/s ɛ l/
selvbetjening,/s ɛ l b ɛ t j e ː n ɪ ŋ/
selvforskyldt,/ˈ s ɛ l f ɔ ʂ ʏ l t/
selvfølgelig,/s ə l ˈ f œ l g ə l ɪ/
selvfølgelige,/s ə l ˈ f œ l g ə l ɪə/
selvfølgeligere,/s ə l ˈ f œ l g ə l ɪ ɾ ə/
selvfølgeligst,/s ə l ˈ f œ l g ə l ɪ k s t/
selvfølgeligste,/s ə l ˈ f œ l g ə l ɪ k s t ə/
