abbor  aa b ao r
oppdiktet  ao p d ih k t ax t
oppdra  ao p d r aa
oppe  ao p ax
oppfatte  ao p f aa t ax
oppfinne  ao p f ih n ax
oppfordre  ao p f ao d r ax
oppfostre  ao p f uh s t r ax
oppfylle  ao p f ue l ax
oppfølger  ao p f oe l ax r
oppføre  ao p f oeh r ax
oppførelse  ao p f oeh r eh l s ax
oppgi  ao p j iy
oppgitt  ao p j ih t
oppgradere  ao p g r aa d ee r ax
oppheve  ao p h ee v ax
opphold  ao p h ao l
oppholde  ao p h ao l ax
oppholde seg  ao p h ao l ax s ae iy
oppholdsrom  ao p h ao l s r uh m
opphøre  ao p h oeh r ax
oppklare  ao p k l aa r ax
opplagt  ao p l aa k t
oppland  ao p l aa n
oppleve  ao p l ee v ax
opplevelse  ao p l ee v ax l s ax
opplyse  ao p l ueh s ax
opplysning  ao p l ueh s n ih ng
opplyst  ao p l ueh s t
oppmerksom  ao p m ae r k s ao m
oppmerksomhet  ao p m ae r k s ao m h ee t
oppmuntre  ao p m uh n t r ax
oppnå  ao p n oo
oppofrende  ao p ao f r ax n ax
oppover  ao p oo v ax r
oppreist  ao p r ay s t
opprette  ao p r eh t ax
opprettholde  ao p r ax t h ao l ax
oppriktig  ao p r ih k t ih
oppriktige  ao p r ih k t ih ax
oppriktigere  ao p r ih k t ih r ax
oppriktigst  ao p r ih k t ih k s t
oppriktigste  ao p r ih k t ih k s t ax
opprinnelig  ao p r ih n ax l ih
opprinnelige  ao p r ih n ax l ih ax
opprinneligere  ao p r ih n ax l ih r ax
opprinneligst  ao p r ih n ax l ih k s t
opprinneligste  ao p r ih n ax l ih k s t ax
opprøre  ao p r oeh r ax
oppsummere  ao p s uh m ee r ax
oppsvulmet  ao p s v uh l m ax t
oppta  ao p t aa
opptatt  ao p t aa t
opptre  ao p t r ee
oppvakt  ao p v aa k t
oppvarte  ao p v aa t ax
oppvaskbørste  ao p v aa s k b oe sz t ax
oppvaskklut  ao p v aa s k l uh t
oppvaskkum  ao p v aa s k uh m
oppvaskmiddel  ao p v aa s k m ih d ax l
optiker  ao p t ih k ax r
optimal  ao p t ih m aa l
optimistisk  ao p t ih m ih s t ih s k
optisk  ao p t ih s k
orange  ao r aa ng sz ax
oransje  uh r aa n sz
ord  uu r
ordbok  uu r b uu k
orden  ao d ax n
ordenen  ao d ax n
ordener  ao d n ax r
ordentlig  ao ng t l ih
ordentlige  ao ng t l ih ax
ordentligere  ao ng t l ih r ax
ordentligst  ao ng t l ih k s t
ordentligste  ao ng t l ih k s t ax
ordinær  ao d ih n ae r
ordklasse  uu r k l aa s ax
ordlegge  uu l ay ax
ordne  ao d n ax
ordre  ao d r ax
organisere  ao r g aa n ih s ee r ax
organisk  ao r g aa n ih s k
orgel  ao r g ax l
orientere  ao r ih ax n t ee r ax
original  ao r ih g ih n aa l
originalversjon  ao r ih g ih n aa l v eh sz uu n
orke  ao r k ax
orkester  ao r k eh s t ax r
orm  ao r m
ortodoks  ao t uh d ao k s
ose  uu s ax
Oslo  uh sz l u
oss  ao s
ost  uh s t
oval  uh v aa l
over  oo v ax r
overalt  oo v ax r aa l t
overanstrenge  oo v ax r aa n s t r eh ng ax
overbevise  oo v ax r b ax v iy s ax
overbærende  oo v ax r b ae r ax n ax
overdrive  oo v ax d r iy v ax
overdøve  oo v ax d oeh v ax
overdådig  oo v ax d oo d ih
overdådige  oo v ax d oo d ih ax
overdådigere  oo v ax d oo d ih r ax
overdådigst  oo v ax d oo d ih k s t
overdådigste  oo v ax d oo d ih k s t ax
overfall  oo v ax r f aa l
overfalle  oo v ax r f aa l ax
overfladisk  oo v ax r f l aa d ih s k
overfor  oo v ax r f ao r
overfore  oo v ax r f oeh r ax
overføre  oo v ax r f oeh r ax
overføring  oo v ax r f oeh r ih ng
overført  oo v ax r f oeh t
overgang  oo v ax r g aa ng
overgrep  oo v ax r g r ee p
overgå  oo v ax r g oo
overholde  oo v ax r hh ao l ax
overhøre  oo v ax r hh oeh r ax
overkjøre  oo v ax r xh oeh r ax
overkommelig  ao v ax r k ao m ax l ih
overkommelige  ao v ax r k ao m ax l ih ax
overkommeligere  ao v ax r k ao m ax l ih r ax
overkommeligst  ao v ax r k ao m ax l ih k s t
overkommeligste  ao v ax r k ao m ax l ih k s t ax
overlappe  oo v ax l aa p ax
overlate  oo v ax l aa t ax
overlegen  oo v ax l ee g ax n
overleve  oo v ax l ee v ax
overlevere  oo v ax l ax v ee r ax
overmanne  oo v ax r m aa n ax
overnatte  oo v ax ng aa t ax
overnatting  oo v ax ng aa t ih ng
overnattingssted  oo v ax ng aa t ih ng s t ee
overnaturlig  oo v ax ng aa t uh l ih
overnaturlige  oo v ax ng aa t uh l ih ax
overnaturligere  oo v ax ng aa t uh l ih r ax
overnaturligst  oo v ax ng aa t uh l ih k s t
overnaturligste  oo v ax ng aa t uh l ih k s t ax
overraske  oo v ax r aa s k ax
overrasket  oo v ax r aa s k ax t
overrekke  ao v ax r eh k ax
overrumple  ao v ax r uh m p l ax
overse  oo v ax sz ee
oversette  oo v ax sz eh t ax
oversettelse  oo v ax sz eh t ax l s ax
oversiktlig  oo v ax sz ih k t l ih
oversiktlige  oo v ax sz ih k t l ih ax
oversiktligere  oo v ax sz ih k t l ih r ax
oversiktligst  oo v ax sz ih k t l ih k s t
oversiktligste  oo v ax sz ih k t l ih k s t ax
overskride  oo v ax sz k r iy d ax
overskrift  oo v ax sz k r ih f t
overskuelig  oo v ax sz k uh ax l ih
overskuelige  oo v ax sz k uh ax l ih ax
overskueligere  oo v ax sz k uh ax l ih r ax
overskueligst  oo v ax sz k uh ax l ih k s t
overskueligste  oo v ax sz k uh ax l ih k s t ax
overskyet  oo v ax sz ueh ax t
overstige  oo v ax sz t iy g ax
overta  oo v ax t aa
overtale  oo v ax t aa l ax
overtre  oo v ax t r ee
overtroisk  oo v ax t r uu ih s k
overveie  oo v ax r v ay ax
overveiende  oo v ax r v ay ax n ax
overvektig  oo v ax r v eh k t ih
overvektige  oo v ax r v eh k t ih ax
overvektigere  oo v ax r v eh k t ih r ax
overvektigst  oo v ax r v eh k t ih k s t
overvektigste  oo v ax r v eh k t ih k s t ax
overvelde  oo v ax r v eh l d ax
overvinne  oo v ax r v ih n ax
overvurdere  oo v ax r v uh d ee r ax
overvære  oo v ax r v ae r ax
overvåke  oo v ax r v oo k ax
overøse  oo v ax r oeh s ax
p-pille  p ee p ih l ax
pacemaker  p ay s m ay k ax r
padde  p aa d ax
paddle  p aa d l ax
padle  p aa d l ax
paff  p aa f
pai  p ay
pakistansk  p aa k ih s t aa n s k
pakke  p aa k ax
pakke inn  p aa k ax ih n
palass  p aa l aa s
pale  p oo l ax
palme  p aa l m ax
pannekake  p aa n ax k aa k ax
pannelugg  p aa n ax l uh g
pannerett  p aa n ax r eh t
panser  p aa n s ax r
pant  p aa n t
pante  p aa n t ax
pantsette  p aa n t s eh t ax
papir  p aa p iy r
papirhandel  p aa p iy r hh aa n ax l
pappa  p aa p aa
paprika  p aa p r ih k aa
par  p aa r
parade  p aa r aa d ax
paradere  p aa r aa d ee r ax
paradoksal  p aa r aa d ao k s aa l
parallell  p aa r aa l eh l
parallellitet  p aa r aa l eh l ih t ee t
paralysere  p aa r aa l ue s ee r ax
paraply  p aa r aa p l ueh
parat  p aa r aa t
pare  p aa r ax
parere  p aa r ee r ax
parfyme  p aa r f ueh m ax
parfymeri  p aa r f ue m ax r iy
park  p aa r k
parkere  p aa r k ee r ax
parkeringslys  p aa r k ee r ih ng s l ueh s
parkeringsplass  p aa r k ee r ih ng s p l aa s
parkeringsplass for funksjonshemmede  p aa r k ee r ih ng s p l aa s f ao r f uh ng k sz uu n s h eh m ax d ax
parkett  p aa r k eh t
parkometer  p aa r k uh m ee t ax r
parodiere  p aa r uh d ih ee r ax
partere  p aa t ee r ax
partisk  p aa t ih s k
parykk  p aa r ue k
pasient  p aa s ih eh n t
pass  p aa s
passasjer  p aa s aa sz ee r
passe  p aa s ax
passé  p aa s ee
passe på  p aa s ax p oo
passelig  p aa s ax l ih
passelige  p aa s ax l ih ax
passeligere  p aa s ax l ih r ax
passeligst  p aa s ax l ih k s t
passeligste  p aa s ax l ih k s t ax
passende  p aa s ax n ax
passere  p aa s ee r ax
passiv  p aa s ih v
passkontroll  p aa s k uh n t r ao l
patent  p aa t eh n t
patetisk  p aa t ee t ih s k
patruljere  p aa t r uh l j ee r ax
patte  p aa t ax
pause  p aw s ax
pedagogisk  p ax d aa g uu g ih s k
pedantisk  p ax d aa n t ih s k
peke  p ee k ax
pen  p ee n
pendle  p eh n l ax
pengeanvisning  p eh ng ax aa n v iy s n ih ng
pengepung  p eh ng ax p uh ng
penger  p eh ng ax r
pengeseddel  p eh ng ax s eh d ax l
penn  p eh n
pensjonat  p aa ng sz uh n aa t
pensle  p eh n s l ax
pepper  p eh p ax r
pepre  p eh p r ax
Per  p ee r
perfekt  p ae r f eh k t
perle  p ae l ax
permanent  p ae r m aa n eh n t
permittere  p ae r m ih t ee r ax
perpleks  p ae r p l eh k s
perrong  p eh r ao ng
persille  p eh sz ih l ax
persisk  p ae sz ih s k
person  p ae sz uu n
personalia  p eh sz ao n aa l ih aa
personlig  p ae sz uu n l ih
personlige  p ae sz uu n l ih ax
personligere  p ae sz uu n l ih r ax
personligst  p ae sz uu n l ih k s t
personligste  p ae sz uu n l ih k s t ax
pertentlig  p ae t eh n t l ih
pertentlige  p ae t eh n t l ih ax
pertentligere  p ae t eh n t l ih r ax
pertentligst  p ae t eh n t l ih k s t
pertentligste  p ae t eh n t l ih k s t ax
pervers  p ae r v ae sz
pese  p ee s ax
pessimistisk  p ax s ih m ih s t ih s k
pianist  p ih aa n ih s t
piano  p ih j aa n u
piffe  p ih f ax
pigg  p ih g
pikant  p ih k aa n t
pil  p iy l
pile  p iy l ax
pille  p ih l ax
pine  p iy n ax
pinlig  p iy n l ih
pinlige  p iy n l ih ax
pinligere  p iy n l ih r ax
pinligst  p iy n l ih k s t
pinligste  p iy n l ih k s t ax
pinne  p ih n ax
pinse  p ih n s ax
pinsett  p ih n s eh t
pipe  p iy p ax
piple  p ih p l ax
pirke  p ih r k ax
pirre  p ih r ax
piske  p ih s k ax
pissoar  p ih s uh aa r
pjokk  p xh ao k
pjusk  p j uh s k
plage  p l aa g ax
plagiere  p l aa g ih ee r ax
plagsom  p l aa k s ao m
plakat  p l aa k aa t
plan  p l aa n
planke  p l aa ng k ax
planlegge  p l aa n l ay ax
planlegging  p l aa n l ae j ih ng
plante  p l aa n t ax
plaske  p l aa s k ax
plass  p l aa s
plassbillett  p l aa s b ih l eh t
plassere  p l aa s ee r ax
plast  p l aa s t
plaster  p l aa s t ax r
plastfolie  p l aa s t f uu l ih ax
plastisk  p l aa s t ih s k
plastpose  p l aa s t p uu s ax
plate  p l aa t ax
platt  p l aa t
plattfot  p l aa t f uu t
plausibel  p l aw s iy b ax l
pleie  p l ay ax
pleietrengende  p l ay ax t r eh ng ax n ax
plen  p l ee n
plikt  p l ih k t
pliktig  p l ih k t ih
pliktige  p l ih k t ih ax
pliktigere  p l ih k t ih r ax
pliktigst  p l ih k t ih k s t
pliktigste  p l ih k t ih k s t ax
plomme  p l uh m ax
pludre  p l uh d r ax
plukke  p l uh k ax
plump  p l uh m p
plumpe  p l uh m p ax
plutselig  p l uh t s ax l ih
plutselige  p l uh t s ax l ih ax
plutseligere  p l uh t s ax l ih r ax
plutseligst  p l uh t s ax l ih k s t
plutseligste  p l uh t s ax l ih k s t ax
plyndre  p l ue n d r ax
plystre  p l ue s t r ax
pløsete  p l oeh s ax t ax
pløye  p l oe j ax
pneumatisk  p n ae w m aa t ih s k
poeng  p ao eh ng
poengtere  p ao ax ng t ee r ax
poet  p uh ee t
polar  p uh l aa r
polere  p uh l ee r ax
poliomyelitt  p uh l ih uh m ue ax l ih t
politi  p uh l ih t iy
politibil  p uh l ih t iy b iy l
politiker  p uh l iy t ih k ax r
politikk  p uh l ih t ih k
politimann  p uh l ih t iy m aa n
politisk  p uh l iy t ih s k
pollen  p ao l n
polsk  p uu l s k
pompøs  p uh m p oeh s
pop  p ao p
poppel  p ao p ax l
populær  p uh p uh l ae r
porselen  p uh sz ax l ee n
porsjon  p uh sz uu n
porsjonere  p uh sz uh n ee r ax
port  p uh t
portal  p uh t aa l
portier  p uh t ih ee r
porto  p uh t u
portrett  p uh t r eh t
portugisisk  p uh t uh g iy s ih s k
porøs  p uh r oeh s
pose  p uu s ax
posere  p uh s ee r ax
positiv  p uu s ih t iy v
poste  p ao s t ax
poste restante  p ao s t ax r eh s t aa n t ax
postkasse  p ao s t k aa s ax
postkontor  p ao s t k uh n t uu r
postkort  p ao s t k ao t
postlegge  p ao s t l ay ax
postnummer  p ao s t n uh m ax r
postsparebankbok  p ao s t s p aa r ax b aa ng k b uu k
potensial  p uh t ax n s ih aa l
potensiell  p uh t ax n s ih eh l
potet  p uh t ee t
potte  p ao t ax
pragmatisk  p r aa g m aa t ih s k
praktfull  p r aa k t f uh l
praktisere  p r aa k t ih s ee r ax
praktisk  p r aa k t ih s k
prange  p r aa ng ax
prate  p r aa t ax
pratsom  p r aa t s ao m
prege  p r ee g ax
preke  p r ee k ax
prektig  p r eh k t ih
prektige  p r eh k t ih ax
prektigere  p r eh k t ih r ax
prektigst  p r eh k t ih k s t
prektigste  p r eh k t ih k s t ax
prekær  p r ax k ae r
prelle  p r eh l ax
premie  p r ee m ih ax
premiere  p r ax m ih ae r ax
preposisjon  p r ax p uh s ih sz uu n
presang  p r ax s aa ng
presentabel  p r ax s aa ng t aa b ax l
presentasjon  p r eh s aa ng t aa sz uu n
presentere  p r ax s aa ng t ee r ax
presentere noen for noen  p r eh s aa ng t ee r ax n uu ax n f ao ng uu ax n
presis  p r eh s iy s
presisere  p r ax s ih s ee r ax
presse  p r eh s ax
presserende  p r eh s ee r ax n ax
prest  p r eh s t
prestere  p r ax s t ee r ax
prestisjefylt  p r ax s t iy sz ax f ue l t
pretensiøs  p r ax t aa ng s ih oeh s
prevensjon  p r ee v ax n sz uu n
preventiv  p r eh v aa ng t iy v
prikke  p r ih k ax
prima  p r iy m aa
primitiv  p r ih m ih t iy v
prim ær  p r ih m ae r
prinsipiell  p r ih n s ih p ih eh l
printe  p r ih n t ax
prioritere  p r ih uh r ih t ee r ax
prippen  p r ih p ax n
pris  p r iy s
prise  p r iy s ax
privat  p r ih v aa t
privatisere  p r ih v aa t ih s ee r ax
prn jeg  j ae iy
problem  p r uh b l ee m
problematisk  p r uh b l ax m aa t ih s k
problemer med blodomløpet  p r uh b l ee m ax r m ee b l uu uh m l oeh p ax
produksjon  p r uh d uh k sz uu n
produkt  p r uh d uh k t
produktiv  p r uh d uh k t iy v
produsere  p r uh d uh s ee r ax
profesjonell  p r uh f ax sz uh n eh l
proff  p r uh f
profittere  p r uh f ih t ee r ax
program  p r uh g r aa m
programhefte  p r uh g r aa m h eh f t ax
programmere  p r uh g r aa m ee r ax
progressiv  p r uh g r ax s iy v
proklamere  p r uh k l aa m ee r ax
promille  p r uh m ih l ax
prominent  p r uh m ih n eh n t
promotere  p r uh m uh t ee r ax
prompe  p r uh m p ax
proporsjonal  p r uh p uh sz uh n aa l
proppe  p r ao p ax
prosaisk  p r uh s aa ih s k
prosent  p r uh s eh n t
prosesjon  p r uh s ax sz uu n
prosess  p r uh s eh s
prosjektere  p r uh sz eh k t ee r ax
prospektkort  p r uh s p eh k t k uh t
prost  p r uu s t
prostituere  p r uh s t ih t uh ee r ax
protese  p r uh t ee s ax
protest  p r uh t eh s t
protestantisk  p r uh t ax s t aa n t ih s k
protestere  p r uh t ax s t ee r ax
prove  p r oeh v ax
provisorisk  p r uh v ih s uu r ih s k
provosere  p r uh v uh s ee r ax
prute  p r uh t ax
pryde  p r ueh d ax
pryle  p r ueh l ax
prøve  p r oeh v ax
pseudonym  s ax v d uh n ueh m
psyke  s ueh k ax
psykiatrisk  s ue k ih aa t r ih s k
psykisk  s ue k ih s k
publisere  p uh b l ih s ee r ax
pudder  p uh d ax r
pudre  p uh d r ax
pugge  p uh g ax
pukkel  p uh k ax l
pulk  p uh rx k
puls  p uh l s
pulsere  p uh l s ee r ax
pult  p uh l t
pulver  p uh l v ax r
pumpe  p uh m p ax
punkt  p uh ng t
punktere  p uh ng t ee r ax
punktert  p uh ng t eh t
punktlig  p uh ng t l ih
punktlige  p uh ng t l ih ax
punktligere  p uh ng t l ih r ax
punktligst  p uh ng t l ih k s t
punktligste  p uh ng t l ih k s t ax
pupp  p uh p
purke  p uh r k ax
purre  p uh r ax
pusle  p uh sz l ax
pussa  p uh s aa
pusse  p uh s ax
pussig  p uh s ih
pussige  p uh s ih ax
pussigere  p uh s ih r ax
pussigst  p uh s ih k s t
pussigste  p uh s ih k s t ax
puste  p uh s t ax
putre  p uh t r ax
putte  p uh t ax
pynte  p ue n t ax
pysete  p ueh s ax t ax
pære  p ae r ax
pølse  p oe l s ax
pønske  p oe n s k ax
på  p oo
på bakkenivå  p ao b aa k ax n ih v oo
på baksiden  p ao b aa k s iy d ax n
på denne t iden  p ao d eh n ax t iy d ax n
på forhånd  p ao f ao r hh ao n
på hverdager  p oo v ae d aa g ax r
på norsk  p ao n ao sz k
påberope  p oo b ax r uu p ax
påbud  p oo b uh d
påby  p oo b ueh
pådra  p oo d r aa
påfallende  p oo f aa l ax n ax
påfølgende  p oo f oe l g ax n ax
pågripe  p oo g r iy p ax
pågå  p oo g oo
pågående  p oo g oo ax n ax
påholden  p oo hh ao l ax n
påkledning  p oo k l ee d n ih ng
pålegg  p oo l eh g
pålitelig  p ao l iy t l ih
pålitelige  p ao l iy t l ih ax
påliteligere  p ao l iy t l ih r ax
påliteligst  p ao l iy t l ih k s t
påliteligste  p ao l iy t l ih k s t ax
påpasselig  p ao p aa s ax l ih
påpasselige  p ao p aa s ax l ih ax
påpasseligere  p ao p aa s ax l ih r ax
påpasseligst  p ao p aa s ax l ih k s t
påpasseligste  p ao p aa s ax l ih k s t ax
påpeke  p oo p ee k ax
påske  p oo s k ax
påskynde  p oo sz ue n ax
påstand  p oo s t aa n
påstigningshjelp  p oo s t iy g n ih ng s j eh l p
påstå  p oo s t oo
påståelig  p ao s t oo ax l ih
påståelige  p ao s t oo ax l ih ax
påståeligere  p ao s t oo ax l ih r ax
påståeligst  p ao s t oo ax l ih k s t
påståeligste  p ao s t oo ax l ih k s t ax
påtatt  p oo t aa t
påvirke  p oo v ih r k ax
påvise  p oo v iy s ax
rabatt  r aa b aa t
rable  r aa b l ax
racersykkel  r ae s eh sz ue k ax l
racket  r ae k ax t
rade  r oo d ax
radering  r aa d ee r ih ng
radikal  r aa d ih k aa l
radio  r aa d ih u
raffinert  r aa f ih n ee t
rage  r aa g ax
rak  r aa k
rake  r aa k ax
rakett  r aa k eh t
rakke  r aa k ax
rakle  r aa k l ax
rakne  r aa k n ax
ramle  r aa m l ax
ramme  r aa m ax
rampete  r aa m p ax t ax
ramponere  r aa m p uh n ee r ax
rane  r aa n ax
rang  r aa ng
rangel  r aa ng ax l
rangere  r aa ng sz ee r ax
rangle  r aa ng rx ax
ransake  r aa n s aa k ax
rapp  r ae p
rappe  r aa p ax
rapportere  r aa p ao t ee r ax
rar  r aa r
rase  r aa s ax
rasende  r aa s ax n ax
rasere  r aa s ee r ax
rasistisk  r aa s ih s t ih s k
rasjonell  r aa sz uh n eh l
rask  r aa s k
raskt  r aa s k t
rasle  r aa sz l ax
raspe  r aa s p ax
rastløs  r aa s t l oeh s
raus  r aw s
raute  r aw t ax
re  r ee
reagere  r ax aa g ee r ax
reaksjon  r ax aa k sz uu n
real  r ee aa l
realisere  r ax aa l ih s ee r ax
realistisk  r ax aa l ih s t
redd  r eh d
redde  r eh d ax
rede  r ee d ax
redegjøre  r ee d ax j oeh r ax
redelig  r ee d ax l ih
redelige  r ee d ax l ih ax
redeligere  r ee d ax l ih r ax
redeligst  r ee d ax l ih k s t
redeligste  r ee d ax l ih k s t ax
redigere  r ax d ih g ee r ax
redningsbåt  r eh d n ih ng s b oo t
redningsvest  r eh d n ih ng s v eh s t
redsel  r eh t s ax l
redusere  r ax d uh s ee r ax
reell  r ax eh l
referere  r ax f ax r ee r ax
refleksiv  r eh f l ax k s iy v
reflektere  r ax f l ax k t ee r ax
refse  r eh f s ax
refundere  r ax f uh n d ee r ax
refusere  r ax f uh s ee r ax
regel  r ee g ax l
regelmessig  r ee g ax l m eh s ih
regelmessige  r ee g ax l m eh s ih ax
regelmessigere  r ee g ax l m eh s ih r ax
regelmessigst  r ee g ax l m eh s ih k s t
regelmessigste  r ee g ax l m eh s ih k s t ax
regi  r eh sz iy
regional  r ax g ih uh n aa l
registrere  r ax g ih s t r ee r ax
regjere  r ax j ee r ax
regjering  r eh j ee r ih ng
regn  r ay n
regne  r ay n ax
regne(1)  r ay n ax r
regnfrakk  r ay n f r aa k
regnfullt  r ay n f uh l t
regning  r ay n ih ng
regnskur  r ay n s k uh r
regulere  r ax g uh l ee r ax
regulær  r ax g uh l ae r
reim  r ay m
rein  r ay n
reise  r ay s ax
reise bort  r ay s ax b uh t
reise fra  r ay s ax f r aa
reise t il  r ay s ax t ih l
reisebyrå  r ay s ax b ue r oo
reisehåndbok  r ay s ax hh ao n b uu k
reiseselskap  r ay s ax s eh l s k aa p
reisesjekk  r ay s ax sz eh k
reiseveske  r ay s ax v eh s k ax
reke  r ee k ax
reker  r eh k ax r
rekke  r eh k ax
reklamere  r eh k l aa m ee r ax
rekonstruere  r eh k uh n s t r uh ee r ax
rekruttere  r eh k r uh t ee r ax
relativ  r eh l aa t iy v
relevant  r eh l ax v aa n t
religion  r eh l ih g ih uu n
religiøs  r eh l ih g ih oeh s
ren  r ee n
renessanse  r ee n ee s aa n s ax
rengjøre  r ee n j oeh r ax
renne  r eh n ax
renovere  r ax n uh v ee r ax
rense  r eh n s ax
renseri  r eh n s ee r iy
renske  r ax n s k ax
renslig  r ee n sz l ih
renslige  r ee n sz l ih ax
rensligere  r ee n sz l ih r ax
rensligst  r ee n sz l ih k s t
rensligste  r ee n sz l ih k s t ax
reparere  r eh p aa r ee r ax
repetere  r ax p ax t ee r ax
representativ  r ax p r ax s eh n t aa t iy v
representere  r ax p r ax s ax n t ee r ax
reprodusere  r ax p r uh d uh s ee r ax
resepsjon  r eh s eh p sz uu n
resept  r eh s eh p t
reserve  r eh s ae r v ax
reservere  r eh s ae r v ee r ax
reservering  r eh s eh r v ee r ih ng
reservert  r eh s ae r v ee t
residere  r eh s ih d ee r ax
resignere  r eh s ih g n ee r ax
resirkulere  r eh s ih r k uh l ee r ax
